Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
100544;null;B200
100545;null;B200
100546;null;B200
100547;null;B200
100548;null;B203
100549;null;B203
10055;null;B100
100550;null;B203
100551;null;B200
100552;null;B200
100553;null;B203
100554;null;B204
100555;null;B203
100556;null;B203
100557;null;B203
100558;null;B203
100559;null;B100
10056;null;B200
100560;null;B200
100561;null;B200
100562;null;B203
100563;null;B203
100564;null;B203
100565;null;B204
100566;null;B204
100567;null;B204
100568;null;B204
100569;null;B200
10057;null;B200
100570;null;B200
100571;null;B200
100572;null;B200
100573;null;B200
100574;null;B200
100575;null;B200
100576;null;B200
100577;null;B203
100578;null;B203
100579;null;B203
10058;null;B200
100580;null;B203
100581;null;B203
100582;null;B204
100583;null;B100
100584;null;B200
100585;null;B200
100586;null;B203
100587;null;B203
100588;null;B203
100589;null;B204
10059;null;B200
100590;null;B200
100591;null;B203
100592;null;B203
100593;null;B203
100594;null;B203
100595;null;B204
100596;null;B203
100597;null;B100
100598;null;B100
100599;null;B100
1006;null;B203
10060;null;B203
100600;null;B100
100601;null;B200
100602;null;B203
100603;null;B100
100604;null;B100
100605;null;B200
100606;null;B203
100607;null;B203
100608;null;B203
100609;null;B204
10061;null;B203
100610;null;B100
100611;null;B203
100612;null;B203
100613;null;B203
100614;null;B204
100615;null;B204
100616;null;B204
100617;null;B204
100618;null;B206
100619;null;B203
10062;null;B203
100620;null;B203
100621;null;B200
100622;null;B200
100623;null;B203
100624;null;B200
100625;null;B200
100626;null;B203
100627;null;B203
100628;null;B204
100629;null;B100
10063;null;B203
100630;null;B200
100631;null;B203
100632;null;B204
100633;null;B200
100634;null;B200
100635;null;B200
100636;null;B200
100637;null;B200
100638;null;B200
100639;null;B200
10064;null;B204
100640;null;B200
100641;null;B203
100642;null;B203
100643;null;B203
100644;null;B203
100645;null;B203
100646;null;B204
100647;null;B204
100648;null;B204
100649;null;B204
10065;null;B100
100650;null;B204
100651;null;B100
100652;null;B203
100653;null;B203
100654;null;B204
100655;null;B200
100656;null;B100
100657;null;B100
100658;null;B100
100659;null;B100
10066;null;B100
100660;null;B100
100661;null;B200
100662;null;B200
100663;null;B200
100664;null;B203
100665;null;B203
